id,group_id,name,name_kana,zissen_man_player_id,hokei_man_player_id,zissen_woman_player_id,hokei_woman_player_id,hokei_sonen_player_id
95,22,近藤　祐生,こんどう　ゆうせい,6,,,,
96,22,内村　悦子,うちむら　えつこ,,,,6,
97,22,後藤　有美,ごとう　ゆみ,,,,,6
98,22,渡邊　裕介,わたなべ　ゆうすけ,,,,,
99,22,佐藤　誠,さとう　まこと,,,,,7
100,22,勝山　敬介,かつやま　けいすけ,,8,,,
101,22,秋山　和也,あきやま　かずや,,,,,
102,22,青木 悠悟,あおき　ゆうご,7,,,,
103,22,和田 直也,わだ　なおや,,9,,,
104,22,山口 真波,やまぐち　まなみ,,,,7,
105,22,佐藤 飛鳥,さとう　あすか,,,5,,
106,22,関口 大輝,せきぐち　だいき,,,,,
107,26,恒藤　亮斗,つねふじ　りょうと,8,,,,
108,26,石田 優真,いしだ　ゆうま,,10,,,
109,26,中本 淳史,なかもと　あつし,,,,,
110,26,中谷 靖,なかたに　やすし,,,,,
111,26,塩谷 優太,しおや　ゆうた,9,,,,
112,26,ラフマン 蒼,らふまん　あお,,,,,
113,26,井上 麻比留,いのうえ　まひる,,,6,,
114,26,鎌田 佳歩,かまだ　かほ,,,,8,
115,26,松原 聡季,まつばら　さき,,,7,,
116,26,渡邊　きらり,わたなべ　きらり,,,,,
117,26,山根 真彩,やまね　まあや,,,,9,
118,26,西川 瑛月,にしかわ　えるな,,,,,
119,26,森 大治,もり　だいち,,,,,
120,26,丸尾(黒田) 知子,まるお　ともこ,,,,,
121,4,佐々木　尚希,ささき　なおき,10,,,,
122,4,阿部　龍,あべ　りゅう,11,,,,
123,4,小松　優,こまつ　ゆう,,,8,10,
124,4,神邊　ひかり,かんべ　ひかり,,,9,11,
125,4,岩間　巧,いわま　たくみ,,11,,,
126,4,神邊　凌士,かんべ　りょうじ,,12,,,
127,4,阿部　公亮,あべ　こうすけ,,,,,
128,4,蜂谷　拓巳,はちや　たくみ,,,,,
129,4,保原　和哉,ほばら　かずや,,,,,
130,4,國井　貴徳,くにい　たかのり,,,,,
131,4,松浦　崇,まつうら　たかし,,,,,
132,4,武山　洋介,たけやま　ようすけ,,,,,
133,4,主藤　竣稀,しゅとう　しゅんき,,,,,
134,4,阿部　剛,あべ　つよし,,,,,
135,4,阿部　鉄生,あべ　てつしょう,,,,,
136,10,山田　光流,やまだ　ひかる,,13,,,
137,10,篠田　大登,しのだ　ひろと,,14,,,
138,10,黒原　勇児,くろはら　たける,,15,,,
